,Actors 1,Actors 2,Actors 3,Actors 4,Actors 5,Actors 6,Actors 7,Budget,Dialogue,Director,Directors,First Day,First Week,First Weekend,Genre,India Gross,Lyrics,Music,Overseas Gross,Producer,Production Banner,Release Date,Runtime,Screenplay,Screens,Story,Title,Worldwide Gross
532,Kay Kay Menon,Chitrangda Singh,Shiney Ahuja,Ram Kapoor,Saurabh Shukla,Yashpal Sharma,Arif Zakaria,"2,75,00,000","Ruchi Narain,Shiv Subramaniyam,Sudhir Mishra",Sudhir Mishra,,"5,00,000","24,00,000","14,00,000",Drama,"69,00,000",,Shantanu Moitra,$---,Pritish Nandy,Pritish Nandy Communications,15-Apr-05,120 min,"Ruchi Narain,Sudhir Mishra,Shiv Subramaniyam",35,Sanjay Chauhan,Hazaaron Khwaishein Aisi,"69,00,000"
533,Jimmy Shergill,Hrishita Bhatt,Irrfan Khan,Tinnu Anand,Sudhir Pandey,Sharat Saxena,Raj Zutshi,"3,75,00,000",Tigmanshu Dhulia,Tigmanshu Dhulia,,"14,00,000","68,50,000","43,00,000",Drama,"1,61,00,000","Devmani Pandey,Kausar Pandey,Satya Prakash,Israr Ansari,Vinoo Mahendra",Jatin - Lalit,$---,,Karma Network Limited,16-May-03,160 min,Tigmanshu Dhulia,70,Tigmanshu Dhulia,Haasil,"1,61,00,000"
534,John Abraham,Udita Goswami,Gulshan Grover,Mohan Agashe,Sandeep Mehta,,Anahita Uberoi,"3,00,00,000",Mahesh Bhatt,Pooja Bhatt,,"46,00,000","1,80,00,000","1,21,00,000",Thriller,"3,72,00,000",Sayeed Quadri,Anu Malik,"$65,000","Pooja Bhatt,Sujit Kumar Singh",Fish Eye Network Pvt. Ltd.,30-Jan-04,117 min,Mahesh Bhatt,150,Niranjan Iyengar,Paap,"4,01,41,250"
535,Urmila Matondkar,Manoj Bajpai,Sanjay Suri,Priyanshu Chatterjee,Sandali Sinha,Isha Koppikar,Lillete Dubey,"12,00,00,000",Chandraprakash Dwivedi,Chandraprakash Dwivedi,,"39,00,000","1,79,00,000","1,08,00,000",Drama,"5,24,00,000",Gulzar,Uttam Singh,"$200,000",,Lucky Star's Entertainment,24-Oct-03,188 min,Amrita Pritam,140,"Amrita Pritam,Chandraprakash Dwivedi",Pinjar,"6,14,50,000"
536,Riteish Deshmukh,Genelia D'Souza,Raja Bherwani,Shriya Saran,Shakti Kapoor,Satish Shah,Tinnu Anand,"3,50,00,000",K. Vijaya Bhaskar,K. Vijaya Bhaskar,,"16,00,000","1,08,50,000","61,00,000",Love Story,"14,27,00,000",Mehboob,Viju Shah,"$20,000",Ramoji Rao,Ushakiron Movies,03-Jan-03,167 min,Kamal,110,Neeraj Vora,Tujhe Meri Kasam,"14,36,60,000"
537,John Abraham,Tara Sharma,Mahima Chaudhary,Zohra Sehgal,Raj Zutshi,Harsh Chhaya,Vishwajeet Pradhan,"3,00,00,000",Amol Shetge,Anurag Basu,,"47,00,000","2,16,50,000","1,39,00,000",Horror,"5,02,00,000","Anand Bakshi,Sayeed Quadri,Praveen Bhardwaj","M.M. Kreem,Anu Malik","$30,000",Mukesh Bhatt,Vishesh Films Pvt. Ltd.,04-Jul-03,123 min,Amol Shetge,140,Amol Shetge,Saaya,"5,15,87,500"
538,Ajay Devgn,Rani Mukherjee,Sonali Bendre,Shashikala,Sadashiv Amrapurkar,Satish Shah,,"7,50,00,000",Milan Luthria,Milan Luthria,,"48,00,000","2,23,00,000","1,42,00,000",Love Story,"4,83,00,000",Anand Bakshi,Sajid - Wajid,"$265,000","Lalit Kapoor,Raju Narula",Om Shakti Combines,01-Aug-03,132 min,Milan Luthria,175,Milan Luthria,Chori Chori,"6,04,23,750"
539,Tabu,Shahbaaz Khan,Mukesh Tiwari,Imraan Khan,Grusha Kapoor,Vishwajeet Pradhan,Amit Behl,"3,00,00,000",Sutanu Gupta,Guddu Dhanoa,,"54,00,000","2,38,00,000","1,50,00,000",Horror,"5,78,00,000",Sameer,Dilip Sen - Sameer Sen,"$25,000","Guddu Dhanoa,Santosh Dhanoa",Jeet's Entertainment,04-Jul-03,128 min,Sutanu Gupta,230,Sanjay Masoom,Hawa,"5,89,50,000"
540,Vivek Oberoi,Dia Mirza,Atul Kulkarni,Mukesh Rishi,Sheeba,Sushant Singh,Govind Namdeo,"7,75,00,000","E. Niwas,Mehran",E. Niwas,,"53,00,000","2,75,50,000","1,59,00,000",Action,"8,09,00,000","Sameer,Nitin Raikwar,Abbas Tyrewala",Sandeep Chowta,"$205,000","Ali Morani,Neelam Bunty Soorma,Karim Morani",Cineyug Films Pvt. Ltd.,24-Jan-03,151 min,Bunty Soorma,250,Mehran,Dum,"9,07,40,000"
541,Aftab Shivdasani,Bipasha Basu,Emraan Hashmi,Aparna Tilak,Irrfan Khan,Anupama Varma,Arif Zakaria,"5,50,00,000",Mahesh Bhatt,Vikram Bhatt,,"62,00,000","2,73,50,000","1,76,00,000",Thriller,"6,37,00,000",Sameer,Nadeem - Shravan,"$15,000",Mukesh Bhatt,Vishesh Films Pvt. Ltd.,15-Aug-03,166 min,Mahesh Bhatt,240,Girish Dhamija,Footpath,"6,43,86,250"
542,Rahul Bose,Sanjay Suri,Rinke Khanna,Riya Sen,Juhi Chawla,Shayan Munshi,Ikraa Khatri,"2,75,00,000",Sujoy Ghosh,Sujoy Ghosh,,"9,00,000","61,00,000","34,00,000",Drama,"3,37,00,000",Vishal Daldani,Vishal - Shekhar,$---,Rangita Pritish Nandy,Pritish Nandy Communications,20-Jun-03,155 min,Sujoy Ghosh,40,"Sujoy Ghosh,Suresh Nair,Milap Zaveri",Jhankaar Beats,"3,37,00,000"
543,Dino Morea,Karan Nath,Tanisha Mukherjee,Gaurav Kapur,Kushal Punjabi,Suvarna Jha,Tina Choudhary,"3,50,00,000",Arshad Syed,Pawan Kaul,,"46,00,000","1,98,25,000","1,18,00,000",Horror,"5,50,00,000","Yogesh,Praveen Bhardwaj,Dev Kohli,Rahat Indori",Anu Malik,"$22,000","Prem Krishan,Sunil Mehta",Cinevistaas Ltd.,24-Oct-03,167 min,Arshad Syed,150,Arshad Syed,Sssshhh,"5,59,95,500"
544,Arshad Warsi,Prashant Narayanan,Sandhya Mridul,Anant Jog,Pratima Kazmi,Suchitra Pillai,Pankaj Saraswat,"2,25,00,000",Shashanka Ghosh,Shashanka Ghosh,,"12,00,000","49,00,000","32,00,000",Comedy,"1,00,00,000","Shekhar Ravjiani,Abhinav Dhar,Sadaqat Husain,Shibani Kashyap,Virag Mishra,Vishal Daldani","Vishal - Shekhar,Abhinav - Saibal",$---,"Sameer Gupta,Rahul Misra",Impact Films Pvt. Ltd.,14-Nov-03,137 min,Shashanka Ghosh,60,Shashanka Ghosh,Waisa Bhi Hota Hai Part II,"1,00,00,000"
545,Tusshar Kapoor,Anita Hassandani,Akhilendra Mishra,Pratima Kazmi,Sharat Saxena,Saurabh Shukla,Achyut Potdar,"4,50,00,000",Teja,Teja,,"22,00,000","1,08,00,000","67,00,000",Love Story,"3,30,00,000",Sameer,Nadeem - Shravan,"$27,000",Kiran,Anand Entertainment,04-Apr-03,139 min,Teja,150,Teja,Yeh Dil,"3,42,82,500"
546,Sushmita Sen,Jackie Shroff,Sushant Singh,Rajesh Khera,Dinesh Lamba,Barkha Madan,Tushar Dalvi,"3,50,00,000","Robby Grewal,Sameer Kohli",Robby Grewal,,"21,00,000","1,12,00,000","68,00,000",Thriller,"2,80,00,000",Abbas Tyrewala,Sandeep Chowta,$---,,IDream Production,10-Oct-03,131 min,"Robby Grewal,Sameer Kohli",100,"Robby Grewal,Sameer Kohli",Samay - When Time Strikes,"2,80,00,000"
547,Anil Kapoor,Rani Mukherjee,Manisha Koirala,Satish Kaushik,Sayaji Shinde,Saurabh Shukla,Deven Verma,"5,75,00,000","Sudhir Mishra,Ruchi Narain,Saurabh Shukla",Sudhir Mishra,,"45,00,000","1,95,00,000","1,29,00,000",Thriller,"3,93,00,000","Javed Akhtar,Mehboob","Anand Raj Anand,Viju Shah","$90,000","Mukesh Udeshi,Allu Arvind",Siri Media Arts,05-Sep-03,128 min,Guna Shekhar,125,Saurabh Shukla,Calcutta Mail,"4,34,17,500"
548,Raveena Tandon,Namrata Shirodkar,Dia Mirza,Rinke Khanna,Divya Dutta,Shweta Menon,Vijay Raaz,"3,25,00,000",Mahesh Manjrekar,Sanjay Jha,,"20,00,000","97,00,000","62,00,000",Comedy,"2,35,00,000","Jitendra Joshi,Praveen Bhardwaj,Nitin Raikwar","Daboo Malik,Nitin Raikwar",$---,"Sagoon Wagh,Mahesh Manjrekar,Raj Lalchandani, Asoo Nihalani",Mindblowing Movies,02-May-03,136 min,Sanjay Pawar,90,Sanjay Pawar,Pran Jaye Par Shaan Na Jaye,"2,35,00,000"
549,Perizaad Zorabian,Khalid Siddique,,Divya Dutta,Victor Banerjee,Dinyar Contractor,Hiten Tejwani,"1,50,00,000",Subhash Ghai,Anant Balani,,"6,50,000","50,50,000","27,00,000",Drama,"2,46,00,000","Subhash Ghai,Sameer,Zamir Qazmi,Usha Uthup",Tabun Sutradhar,$---,,Mukta Arts,12-Sep-03,133 min,Subhash Ghai,30,Subhash Ghai,Joggers' Park,"2,46,00,000"
550,Zayed Khan,Esha Deol,Gulshan Grover,Salil Ankola,Vijay Raaz,Rakhi Sawant,Rajesh Puri,"7,50,00,000",Venita Coelho,Sangeeth Sivan,,"41,00,000","1,93,00,000","1,18,00,000",Thriller,"4,89,00,000","Sanjay Chhel,Sudhakar Sharma,Jay Verma",Himesh Reshammiya,"$55,000",Vivek Singhania,PFH Entertainment Ltd.,21-Mar-03,144 min,,175,"Sanjay Masoom,Vibha Singh",Chura Liyaa Hai Tumne,"5,15,26,250"
551,Jackie Shroff,Karisma Kapoor,Suneil Shetty,Dino Morea,Preeti Jhangiani,Aditi Govitrikar,Sushasni Mulay,"6,25,00,000",Shyam Goel,Tinnu Verma,,"43,00,000","1,82,00,000","1,19,00,000",Thriller,"4,52,00,000",Mehboob,Ismail Darbar,"$60,000",Tinnu Verma,Kapishek Films Pvt. Ltd.,07-Feb-03,175 min,Shyam Goel,185,Sanjay Masoom,Baaz - A Bird in Danger,"4,80,65,000"
552,Abhishek Bachchan,Lara Datta,Aditya Lakhia,Yashpal Sharma,Dayashankar Pandey,Akhilendra Mishra,Ajay Khamosh,"6,50,00,000",Apoorva Lakhia,Apoorva Lakhia,,"52,00,000","2,11,00,000","1,43,00,000",Drama,"3,80,00,000",Sameer,Anu Malik,"$190,000",Vishal Nihalani,Rubberband Films,22-Aug-03,140 min,Apoorva Lakhia,200,Ajay Khamosh,Mumbai Se Aaya Mera Dost,"4,66,92,500"
553,Manisha Koirala,Nawab Shah,Prithvi Zutshi,Alyy Khan,Shabnam Kapoor,Yusuf Hussain,Sunil Kapoor,"3,50,00,000",Ujjwal Chatterjee,Ujjwal Chatterjee,,"10,00,000","52,00,000","32,00,000",Drama,"1,44,00,000",Mehboob,Babul Bose,"$1,000","Ashok Khemka,Vijay Nopany",ESC Films,14-Feb-03,133 min,Sushmita Banerjee,55,Shubhrajyoti,Escape From Taliban,"1,44,47,750"
554,Vijay Raaz,Saddiya Siddiqui,Saurabh Shukla,Maria Goretti,Surekha Sikri,Vijay Patkar,Veerendra Saxena,"50,00,000",Rajat Kapoor,Rajat Kapoor,,"3,50,000","13,00,000","9,00,000",Comedy,"22,50,000",Sanjeev Sharma,Pritam,$---,,NFDC,18-Jun-04,99 min,Rajat Kapoor,20,Saurabh Shukla,Raghu Romeo,"22,50,000"
555,Paresh Rawal,Anuj Sawhney,Mohammad Iqbal Khan,Raima Sen,Natanya Singh,Kader Khan,Gulshan Grover,"3,75,00,000","Rajesh Khattar,Imtiaz Punjabi,Pravin Raj",Imtiaz Punjabi,,"32,00,000","1,73,00,000","1,03,00,000",Comedy,"4,41,00,000","Nitin Raikwar,Amitabh Verma,Pravin Raj",Pritam,$---,"Seema Kar,Dhilin Mehta",Shree Ashtavinayak Cinevision Ltd.,19-Dec-03,154 min,Imtiaz Punjabi,150,"Rajesh Khattar,Pravin Raj",Fun2shh...,"4,41,00,000"
556,Ashmit Patel,Vidya Mallavde,Nauheed Cyrusi,Avtar Gill,Anoop Soni,Anjan Srivastav,Prithvi Zutshi,"2,75,00,000",Mahesh Bhatt,Vikram Bhatt,,"34,00,000","1,42,00,000","94,00,000",Thriller,"2,99,00,000","Dev Kohli,Rahat Indori,Praveen Bhardwaj",Anu Malik,"$1,000",Mukesh Bhatt,Entertainment One,24-Oct-03,154 min,Mahesh Bhatt,160,Girish Dhamija,Inteha,"2,99,45,250"
557,Amar Upadhyay,Aditi Govitrikar,Apoorva Agnihotri,Divya Palat,Irrfan Khan,Mukesh Tiwari,Shweta Menon,"2,50,00,000",Sajeev Kapoor,Shyam Ramsay,,"20,00,000","77,00,000","52,00,000",Mystery,"1,69,00,000","Ibrahim Ashik,Chandrashekhar Rajit,Rakesh Mishra",Viju Shah,"$1,500",Yashovardhan Tyagi,Sukrit Pictures,21-Feb-03,147 min,S. Khan,100,,Dhund - The Fog,"1,69,71,625"
558,Himanshu Malik,Mallika Sherawat,Shivaji Satam,Mahmud Babai,Shahbaaz Khan,"
",,"2,50,00,000",Govind Menon,Govind Menon,,"35,00,000","1,70,00,000","1,03,00,000",Drama,"5,17,00,000",Faiz Anwar,Milind Sagar,"$5,000",Vivek Nayak,Perry Pictures,06-Jun-03,152 min,,125,Shashi Wadia,Khwahish,"5,19,33,750"
559,Ajay Devgn,Ameesha Patel,Pooja Batra,Jagdeep,Kader Khan,Sharat Saxena,Sadashiv Amrapurkar,"6,75,00,000",Deepak Bahry,Deepak Bahry,,"74,00,000","3,10,00,000","2,07,00,000",Action,"6,65,00,000","Sameer,Afsar",Sanjeev - Darshan,"$90,000",Deepak Bahry,Bahry Films,12-Sep-03,127 min,"Rajeev Kaul,Praful Parekh",225,Tanveer Khan,Parwana,"7,06,17,500"
560,Govinda,Aarti Chhabria,Sadashiv Amrapurkar,Kanishkaa Kapoor,,,Tiku Talsania,"4,75,00,000","Rajeev Kaul,Praful Parekh",Raman Kumar,,"29,00,000","1,18,00,000","78,00,000",Comedy,"2,49,00,000","Sameer,Maan Singh Deep,Govinda","Surinder Singh Sodhi,Nadeem - Shravan","$20,000",Kalyani Singh,Right Image Films Pvt. Ltd.,24-Oct-03,130 min,"Rajeev Kaul,Praful Parekh",145,,Raja Bhaiya,"2,58,05,000"
561,Antara Mali,Rajpal Yadav,Govind Namdeo,Sudhir Pandey,Madhuri Sanjeev,,Raman Trikha,"2,50,00,000",Mushir Ali,Chandan Arora,,"21,00,000","96,50,000","62,00,000",Drama,"2,21,00,000",Nitin Raikwar,Amar Mohile,$---,Ram Gopal Verma,Entertainment One,10-Oct-03,142 min,Makarand Deshpande,105,Mushir Ali,Main Madhuri Dixit Banna Chahti Hoon,"2,21,00,000"
562,Manisha Koirala,Suman Ranganathan,Aryan Vaid,Shweta Menon,Makarand Deshpande,Sayaji Shinde,Govind Namdeo,"2,00,00,000",Meeraq Mirza,Jay Prakash,,"32,00,000","1,57,50,000","99,00,000",Drama,"4,27,00,000","Khurshid Hallauri,Arun Bhairav","Jani Babu,Altaf Raja,Vaishnav Deva","$2,000","Rama Adhikari,Atif Khan",Tirumalai Pictures,12-Sep-03,160 min,Arshad Jamal,120,Masud Mirza,Market,"4,27,91,500"
563,Uday Chopra,Rahul Dev,Purab Kohli,Akashdeep Saigal,Nandita Das,Irrfan Khan,Nauheed Cyrusi,"4,25,00,000","Atul Sabharwal,Shutapa Sikdhar",Padam Kumar,,"45,00,000","1,84,50,000","1,25,00,000",Drama,"4,08,00,000","Javed Akhtar,Vishal Daldani,Makarand Deshpande",Vishal - Shekhar,"$22,000",Padam Kumar,Aum Creations Unlimited,20-Jun-03,142 min,Padam Kumar,160,Padam Kumar,Supari,"4,18,23,000"
564,Rahul Bhatt,Vikas Kalantri,Anuj Sawhney,Aslam Khan,Mahek Chahal,Vijay Kashyap,Yusuf Hussain,"3,00,00,000",Ikram Akhtar,B.H. Tharun Kumar,,"36,00,000","1,79,50,000","1,10,00,000",Comedy,"4,77,00,000",Sameer,Shankar - Ehsaan - Loy,$---,Nitin Manmohan,Neha Arts,06-Jun-03,136 min,Ikram Akhtar,115,Raghuvir Shekawat,Nayee Padosan,"4,77,00,000"
565,Ammtoje Mann,Babbu Mann,Anandee Tripathi,,,,,"4,50,00,000",Ammtoje Mann,Ammtoje Mann,,"7,00,000","39,00,000","22,00,000",Drama,"1,30,00,000",Babbu Mann,Babbu Mann,"$500,000","Amrinder Singh,Baldev Bhatti,Babbu Mann,Nippy Dhanoa",Mannerism Films,22-Aug-03,179 min,Ammtoje Mann,40,Harjit Singh,Hawayein,"3,57,50,000"
566,Dev Anand,Heenee Kaushik,Shoeb Khan,Chaitanya Chaudhary,Siya Rana,Moon Moon Sen,Satish Shah,"2,50,00,000",Dev Anand,Dev Anand,,"3,50,000","14,00,000","9,00,000",Love Story,"27,50,000","Javed Akhtar,Nasir Faraz,Prasoon Joshi,Sameer,Mohd. Aslam","Bappi Lahiri,Lucky Ali,Aadesh Shrivastava,Rajesh Roshan,Adnan Sami","$5,000",Dev Anand,Navketan International Films,14-Feb-03,140 min,Dev Anand,25,Dev Anand,Love At Times Square,"29,88,750"
567,Rahul Dev,Atul Kulkarni,Suchitra Pillai,Shweta Menon,Jasmine D'Souza,Subrat Dutta,Shauket Baig,"2,50,00,000","Kiran Shroff,Kushan Nandy",Kushan Nandy,,"17,00,000","63,50,000","43,00,000",Thriller,"1,23,00,000","Dharmendar Ahsas,Ravi Basnet,Rajesh Roy",Rajesh Roy,$---,"Kushan Nandy,Kiran Shroff",Sarvodaya Visuals,27-Jun-03,119 min,"Kushan Nandy,Kiran Shroff",55,Ashish Deo,88 Antop Hill,"1,23,00,000"
568,Nana Patekar,Suchindra Bali,Ayesha Jhulka,Sharbani Mukherji,Poonam Jhawer,Raghuvir Yadav,Nirmal Pandey,"4,00,00,000",Kamal Pandey,Rajesh Kumar Singh,,"13,00,000","50,50,000","33,00,000",Drama,"1,16,00,000","Abbas,Mithilesh Sinha,Poojashree,Afsar,Sudhakar Sharma",Sanjeev - Darshan,$---,"Poonam Jhawer,B.L. Saboo",New Century Films Pvt. Ltd.,26-Nov-03,159 min,Kamal Pandey,50,Kamal Pandey,Aanch,"1,16,00,000"
569,Om Puri,Revathi,Sanjay Suri,Gul Panag,Yashpal Sharma,Ganesh Yadav,Veerendra Saxena,"1,50,00,000",Kumud Chaudhary,Ashwini Chaudhary,,"3,25,000","14,50,000","9,25,000",Drama,"32,00,000",Nida Fazli,Lalit Sen,$---,"Parth Arora,Saket Bahl",Anushka Films,07-Nov-03,126 min,Kumud Chaudhary,20,"Sanjay Chauhan,Kumud Chaudhary",Dhoop,"32,00,000"
570,Amit Hingorani,Sharbani Mukherji,Shakti Kapoor,Alok Nath,Farida Jalal,Johny Lever,Guddi Maruti,"3,00,00,000",,Anil Kumaar Sharma,,"19,00,000","74,50,000","50,00,000",Love Story,"1,75,00,000",Sameer,Viju Shah,$---,Arjun Hingorani,Kapleshwar Pictures,09-May-03,132 min,,80,Sameer Arora,Kaise Kahoon Ke... Pyaar Hai,"1,75,00,000"
571,Rahul Bose,Nandita Das,Vinit Kumar,Liliput,Shilpa Mehta,Piyush Mishra,Kavita Rathod,"2,00,00,000",Anant Balani,Anant Balani,,"6,50,000","22,50,000","16,00,000",Thriller,"39,00,000",Deepak Sneh,Sanju Chakravarty,$---,"Devang Dholakia,Vijay Jindhal,Vivek Suchanti",Channel Nine Entertainment Ltd.,07-Nov-03,93 min,Anant Balani,40,Anant Balani,Ek Din 24 Ghante,"39,00,000"
572,Tusshar Kapoor,Esha Deol,Vrajesh Hirjee,Kusumit Sana,Moon Moon Sen,Johny Lever,Yash Tonk,"7,00,00,000",Rajeev Jhaveri,Anil V. Kumar,,"70,00,000","3,57,00,000","2,06,00,000",Mystery,"10,94,00,000",Sameer,Anu Malik,"$55,000","Ekta Kapoor,Shobha Kapoor",Balaji Motion Pictures,24-Jan-03,141 min,Rajeev Jhaveri,205,"Anurag Basu,Umesh Shukla,Anurag Prapanna",Kucch Toh Hai,"11,20,40,000"
573,Rishi Kapoor,Ali Zafar,Taapsee Pannu,Siddharth,Divyendu Sharma,Anupam Kher,Lillete Dubey,"20,00,00,000",Renuka Kunzru,David Dhawan,,"5,16,00,000","30,26,00,000","19,31,00,000",Comedy,"57,74,00,000","Neelish Misra,Jalees Sherwani,Kausar Munir",Sajid - Wajid,"$925,000",,Viacom 18 Motion Pictures,05-Apr-13,131 min,,1500,Farhad - Sajid,Chasme Baddoor,"62,80,43,750"
574,Kay Kay Menon,Aditya Shrivastava,Joy Fernandes,Vijay Maurya,Tejaswini Kolhapure,Sharat Saxena,Anand Mishra,"2,00,00,000",Anurag Kashyap,Anurag Kashyap,,--,--,--,Thriller,--,Abbas Tyrewala,Vishal Bhardwaj,$---,Tutu Sharma,Padmini Tele Media Ltd.,21-Sep-03,130 min,Anurag Kashyap,0,Anurag Kashyap,Paanch,--
575,Raveena Tandon,Atul Kulkarni,Shri Vallabh Vyas,Govind Namdeo,Manoj Joshi,Latesh Shah,Hemendra Bhatia,"2,50,00,000",Manoj Tyagi,Madhur Bhandarkar,,"14,00,000","71,50,000","42,00,000",Drama,"2,42,00,000",Javed Akhtar,Raju Singh,"$1,000",,Metalight Productions Pvt. Ltd.,07-Feb-03,153 min,Madhur Bhandarkar,65,"Madhur Bhandarkar,Manoj Tyagi",Satta,"2,42,46,750"
576,Priyanshu Chatterjee,Sakshi Shivanand,Farida Jalal,Manoj Pahwa,Arundhati Roy,Navneet Nishan,Veerendra Saxena,"4,25,00,000",Shashank Dabral,Anubhav Sinha,,"30,00,000","1,19,00,000","82,00,000",Love Story,"2,52,00,000","Anand Bakshi,Nitin Raikwar,Rajan Raj,Sameer",Nikhil - Vinay,"$30,000","Bhushan Kumar,Anubhav Sinha",Anubhav Sinha Productions Pvt. Ltd.,10-Jan-03,144 min,Shashank Dabral,135,Anubhav Sinha,Aapko Pehle Bhi Kahin Dekha Hai,"2,66,40,000"
577,Kapil Jhaveri,Saloni Aswani,Amrish Puri,Ashutosh Rana,Mukesh Rishi,Prem Chopra,Raza Murad,"2,75,00,000",Shyam Gupta,Saawan Kumar Tak,,"33,00,000","1,40,00,000","93,00,000",Love Story,"2,69,00,000",Saawan Kumar Tak,Usha Khanna,$---,Saawan Kumar Tak,Saawan Kumar Productions,12-Dec-03,152 min,Saawan Kumar Tak,130,Shyam Gupta,Dil Pardesi Ho Gayaa,"2,69,00,000"
578,Javed Jaffrey,Gulshan Grover,Joy Fernandes,Manav Kaul,Madhura Welankar,Dilip Joglekar,,"8,50,00,000",Soumitra Ranade,Soumitra Ranade,,"32,00,000","1,78,00,000","1,02,00,000",Sci Fi / Fantasy,"5,70,00,000",Nitin Raikwar,Three Brothers and a Violin,$---,,IDream Production,30-May-03,115 min,"Soumitra Ranade,Yogesh Vinayak Joshi",130,Yogesh Vinayak Joshi,Jajantaram Mamantaram,"5,70,00,000"
579,Jaz Pandher,Gurleen Chopra,Mukesh Rishi,Alok Nath,Johny Lever,Mohan Joshi,Nishigandha Wad,"4,75,00,000","Baba Khan,Baba Khan,Anand",Lawrence D'Souza,,"18,00,000","82,00,000","51,00,000",Love Story,"2,07,00,000",Sameer,Nadeem - Shravan,"$10,000",Surjit Pandher,Himalaya Motion Pictures,07-Mar-03,162 min,Anand,100,Talat Jani,Indian Babu,"2,11,77,500"
580,Sonu Nigam,Juhi Babbar,Om Puri,Sharad S. Kapoor,Johny Lever,Saadhika,Raavee Gupta,"5,00,00,000","Ravindra Peepat,Atul Tiwari",Ravindra Peepat,,"16,00,000","63,50,000","42,00,000",Love Story,"1,53,00,000",Sameer,Aadesh Shrivastava,"$25,000",Nadira Babbar,Babbars Films Pvt. Ltd.,14-Feb-03,150 min,Ravindra Peepat,60,Atul Tiwari,Kash... Aap Hamare Hote,"1,64,93,750"
581,Zulfi Sayed,Masumeh Makhija,Rati Agnihotri,Om Puri,Tinnu Anand,Dilip Prabhavalkar,Reema Lagoo,"2,50,00,000","Abbas Tyrewala,Shona Urvashi",Shona Urvashi,,"7,50,000","29,00,000","20,00,000",Rom - Com,"60,00,000",Gulzar,"Vishal Bhardwaj,Ranjit Barot",$---,Jayshri Makhija,PLA Entertainment Pvt. Ltd.,12-Sep-03,164 min,"Shona Urvashi,Abbas Tyrewala",35,Abbas Tyrewala,Chupke Se,"60,00,000"
582,Om Puri,Nandita Das,Amitabh Dayal,Anoop Soni,,,,"1,75,00,000",Sujit Sen,N. Chandra,,"10,00,000","45,00,000","28,00,000",Drama,"1,07,00,000",Gulzar,Vishal Bhardwaj,$---,"Mrunalinni Patil,Suryakanta Patil",Amruta Films Pvt. Ltd.,31-Oct-03,121 min,Sujit Sen,50,Sujit Sen,Kagaar - Living on the Edge,"1,07,00,000"
583,Suneil Shetty,Tabu,Mohan Joshi,Gulshan Grover,Laxmikant Berde,Pankaj Dheer,Archana Puran Singh,"5,00,00,000",S. Khan,Chander Sharma,,"11,00,000","39,50,000","27,00,000",Thriller,"94,00,000",Anand Bakshi,Amar - Utpal,"$1,000",Chander Sharma,Ripa Combines,27-Jun-03,127 min,Shehnaz,75,S. Khan,Khanjar,"94,46,250"
584,Suneil Shetty,Raveena Tandon,,,,,,"3,75,00,000",Santosh Saroj,Tinnu Anand,,--,--,--,Action,--,Anand Bakshi,Anand Raj Anand,$---,Amar Sharma,Vivek Arts,01-Oct-03,126 min,Santosh Saroj,0,Santosh Saroj,Ek Hindustani,--
585,Raveena Tandon,Alyy Khan,Viju Khote,Mac Mohan,Asha Sachdev,Suresh Menon,Anjan Srivastav,"2,00,00,000",Gaurab Pandey,Gaurab Pandey,,"1,25,000","4,50,000","3,00,000",Drama,"9,00,000","Ajay Jhingran,Anil Bharadwaj,Gaurab Pandey,Abbas Tyrewala","Pritam,Shamir Tandon,Eric Pillai,Dhruba Jyoti Phukan",$---,,Reellife Entertainment,16-May-03,117 min,Gaurab Pandey,10,Gaurab Pandey,Stumped,"9,00,000"
586,Arya Babbar,Prashant Narayanan,Aditya Shrivastava,Rajat Kapoor,Dolly Ahluwalia,Rekha Vedavyasa,Saurabh Shukla,"1,75,00,000",Saurabh Shukla,Saurabh Shukla,,"4,50,000","18,00,000","12,00,000",Drama,"32,50,000","Saurabh Shukla,Chandrani Ganguly,Sanjay Swami",Jeet - Pritam,$---,Daksha Mavani,Charmi Films Pvt. Ltd.,12-Dec-03,155 min,Saurabh Shukla,30,Saurabh Shukla,Mudda - The Issue,"32,50,000"
587,Dharmendra,Mukesh Khanna,Sharad S. Kapoor,Monica Bedi,,Mohan Joshi,Rami Reddy,"1,50,00,000","Meeraq Mirza,Pyarelal Sharma",Shishir Annapurna,,"3,50,000","13,50,000","9,00,000",Action,"32,00,000","Sameer,Zaheer Anwar,Rani Malik",Dilip Sen - Sameer Sen,$---,Raju L. Shanklesha,Jain Movies,29-Aug-03,146 min,Pyarelal Sharma,20,Meeraq Mirza,Tada,"32,00,000"
588,Shahrukh Khan,Madhuri Dixit,Aishwarya Rai,Jackie Shroff,Smita Jaykar,Manoj Joshi,Ananya Khare,"44,00,00,000",,Sanjay Leela Bhansali,,"2,09,00,000","11,78,00,000","6,15,00,000",Love Story,"68,19,00,000",,"Monty Sharma,Ismail Darbar","$6,500,000",Bharat Shah,Mega Bollywood Pvt.Ltd.,12-Jul-02,185 min,Sanjay Leela Bhansali,325,,Devdas,"99,87,75,000"
